logged_at_utc,event,symbol,expiry,window_from,window_to,option_type,strike,instrument_symbol,instrument_token,candles_count,min_required_candles,avg_volume,min_avg_volume,previous_candle_time,candle_time,candle_open,candle_high,candle_low,candle_close,previous_close,current_close,price_multiplier,threshold_upper,change_percent,comparison,signal_detected,skip_reason,note
2026-03-05T11:43:51.389335Z,backtest_start,,,2026-03-04 00:00:00,2026-03-05 17:13:38.753568,,,,,,5,,1,,,,,,,,,1.7,,,,,,"workers=8, frequency=daily, strict_first_candle=True, liquidity_filter=True"
2026-03-05T11:43:51.503000Z,scan_expiry_segment,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:13:38.753568,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T11:43:51.685173Z,scan_expiry_segment,ABB,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:13:38.753568,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T11:43:51.776082Z,scan_expiry_segment,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:13:38.753568,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T11:43:51.768567Z,scan_expiry_segment,ADANIENSOL,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:13:38.753568,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T11:43:51.769567Z,scan_expiry_segment,ADANIGREEN,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:13:38.753568,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T11:43:51.776082Z,scan_expiry_segment,ABCAPITAL,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:13:38.753568,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T11:43:51.767567Z,scan_expiry_segment,ADANIENT,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:13:38.753568,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T11:43:52.055412Z,scan_expiry_segment,ALKEM,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:13:38.753568,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T11:43:52.141605Z,rebalance_cmp_selected,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=12400.0000;source=strike_universe_fallback
2026-03-05T11:43:52.390420Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,12400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T11:43:52.536423Z,rebalance_cmp_selected,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=14500.0000;source=strike_universe_fallback
2026-03-05T11:43:52.571185Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,12600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T11:43:52.602766Z,rebalance_cmp_selected,ADANIENT,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=21000.0000;source=strike_universe_fallback
