logged_at_utc,event,symbol,expiry,window_from,window_to,option_type,strike,instrument_symbol,instrument_token,candles_count,min_required_candles,avg_volume,min_avg_volume,previous_candle_time,candle_time,candle_open,candle_high,candle_low,candle_close,previous_close,current_close,price_multiplier,threshold_upper,change_percent,comparison,signal_detected,skip_reason,note
2026-03-05T12:37:03.129225Z,backtest_start,,,2026-03-03 00:00:00,2026-03-05 18:06:50.632866,,,,,,5,,1,,,,,,,,,1.7,,,,,,"workers=8, frequency=daily, strict_first_candle=True, liquidity_filter=True"
2026-03-05T12:37:03.247315Z,scan_expiry_segment,ABB,2026-03-30,2026-03-03T00:00:00,2026-03-05T18:06:50.632866,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.323871Z,scan_expiry_segment,360ONE,2026-03-30,2026-03-03T00:00:00,2026-03-05T18:06:50.632866,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.350477Z,scan_expiry_segment,ABCAPITAL,2026-03-30,2026-03-03T00:00:00,2026-03-05T18:06:50.632866,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.382046Z,scan_expiry_segment,ADANIENSOL,2026-03-30,2026-03-03T00:00:00,2026-03-05T18:06:50.632866,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.488634Z,scan_expiry_segment,ADANIGREEN,2026-03-30,2026-03-03T00:00:00,2026-03-05T18:06:50.632866,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.487630Z,scan_expiry_segment,ADANIENT,2026-03-30,2026-03-03T00:00:00,2026-03-05T18:06:50.632866,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.621502Z,rebalance_cmp_selected,ABB,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=5400.0000;source=strike_universe_fallback
2026-03-05T12:37:03.685798Z,scan_expiry_segment,ADANIPORTS,2026-03-30,2026-03-03T00:00:00,2026-03-05T18:06:50.632866,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.720352Z,rebalance_cmp_selected,ADANIENT,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=21000.0000;source=strike_universe_fallback
2026-03-05T12:37:03.737881Z,rebalance_cmp_selected,ADANIGREEN,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=7500.0000;source=strike_universe_fallback
2026-03-05T12:37:03.753431Z,rebalance_cmp_selected,ABCAPITAL,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=34500.0000;source=strike_universe_fallback
2026-03-05T12:37:03.752400Z,rebalance_cmp_selected,ADANIENSOL,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=7650.0000;source=strike_universe_fallback
2026-03-05T12:37:03.769398Z,scan_strike,ABCAPITAL,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,34500.0,ABCAPITAL30MAR26345CE,75790,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.819474Z,scan_expiry_segment,ALKEM,2026-03-30,2026-03-03T00:00:00,2026-03-05T18:06:50.632866,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.869043Z,rebalance_cmp_selected,ADANIPORTS,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=14500.0000;source=strike_universe_fallback
2026-03-05T12:37:03.894079Z,scan_strike,ABB,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,5400.0,ABB30MAR265400CE,57297,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:03.897076Z,rebalance_cmp_selected,360ONE,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=12400.0000;source=strike_universe_fallback
2026-03-05T12:37:03.942920Z,rebalance_cmp_selected,ALKEM,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=5625.0000;source=strike_universe_fallback
2026-03-05T12:37:04.098308Z,skip_strike,ADANIGREEN,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,7500.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:37:04.184934Z,skip_strike,ADANIENT,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,21000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:37:04.264731Z,skip_strike,360ONE,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,12400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:37:04.344818Z,skip_strike,ADANIENSOL,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,7700.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:37:04.440195Z,skip_strike,ADANIPORTS,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,14600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:37:04.481247Z,scan_strike,ALKEM,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,5650.0,ALKEM30MAR265650CE,78962,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:04.581933Z,skip_strike,360ONE,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,12600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:37:04.625966Z,skip_strike,ABCAPITAL,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,34500.0,ABCAPITAL30MAR26345CE,75790,0,5,,,,,,,,,,,1.7,,,,,insufficient_candles,
2026-03-05T12:37:04.625966Z,scan_strike,ABCAPITAL,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,35000.0,ABCAPITAL30MAR26350CE,57604,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:37:04.717258Z,skip_strike,ADANIPORTS,2026-03-30,2026-03-03T00:00:00,2026-03-03T23:59:59.999999,CE,14800.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
