logged_at_utc,event,symbol,expiry,window_from,window_to,option_type,strike,instrument_symbol,instrument_token,candles_count,min_required_candles,avg_volume,min_avg_volume,previous_candle_time,candle_time,candle_open,candle_high,candle_low,candle_close,previous_close,current_close,price_multiplier,threshold_upper,change_percent,comparison,signal_detected,skip_reason,note
2026-03-05T12:01:05.905238Z,backtest_start,,,2026-03-04 00:00:00,2026-03-05 17:30:53.423403,,,,,,5,,1,,,,,,,,,1.7,,,,,,"workers=8, frequency=daily, strict_first_candle=True, liquidity_filter=True"
2026-03-05T12:01:05.978607Z,scan_expiry_segment,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:30:53.423403,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:06.093349Z,scan_expiry_segment,ADANIENSOL,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:30:53.423403,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:06.118887Z,scan_expiry_segment,ABB,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:30:53.423403,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:06.134401Z,scan_expiry_segment,ABCAPITAL,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:30:53.423403,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:06.282199Z,scan_expiry_segment,ADANIENT,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:30:53.423403,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:06.407045Z,scan_expiry_segment,ADANIGREEN,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:30:53.423403,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:06.547771Z,scan_expiry_segment,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:30:53.423403,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:06.551773Z,scan_expiry_segment,ALKEM,2026-03-30,2026-03-04T00:00:00,2026-03-05T17:30:53.423403,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:06.707951Z,rebalance_cmp_selected,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=12400.0000;source=strike_universe_fallback
2026-03-05T12:01:06.795302Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,12400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:06.889095Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,12600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:06.946118Z,rebalance_cmp_selected,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=14500.0000;source=strike_universe_fallback
2026-03-05T12:01:07.020662Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,12800.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.152727Z,skip_strike,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,14600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.101536Z,rebalance_cmp_selected,ALKEM,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=5625.0000;source=strike_universe_fallback
2026-03-05T12:01:07.275902Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,13000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.152727Z,rebalance_cmp_selected,ADANIENSOL,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=7650.0000;source=strike_universe_fallback
2026-03-05T12:01:07.335043Z,rebalance_cmp_selected,ADANIENT,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=21000.0000;source=strike_universe_fallback
2026-03-05T12:01:07.275902Z,rebalance_cmp_selected,ADANIGREEN,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=7500.0000;source=strike_universe_fallback
2026-03-05T12:01:07.444571Z,scan_strike,ALKEM,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,5650.0,ALKEM30MAR265650CE,78962,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:07.492387Z,skip_strike,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,14800.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.539957Z,rebalance_cmp_selected,ABB,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=5400.0000;source=strike_universe_fallback
2026-03-05T12:01:07.555136Z,rebalance_cmp_selected,ABCAPITAL,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=34500.0000;source=strike_universe_fallback
2026-03-05T12:01:07.632625Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,13200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.679227Z,skip_strike,ADANIENT,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,21000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.758788Z,skip_strike,ADANIGREEN,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,7500.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.788835Z,skip_strike,ADANIENSOL,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,7700.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.849909Z,skip_strike,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,15000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:07.913160Z,scan_strike,ABB,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,5400.0,ABB30MAR265400CE,57297,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:07.929218Z,scan_strike,ABCAPITAL,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,34500.0,ABCAPITAL30MAR26345CE,75790,,,,,,,,,,,,,1.7,,,,,,
2026-03-05T12:01:08.118296Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,13400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.191929Z,skip_strike,ADANIENT,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,21200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.192930Z,skip_strike,ADANIGREEN,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,7600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.227072Z,skip_strike,ADANIENSOL,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,7800.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.258305Z,skip_strike,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,15200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.476375Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,13600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.604743Z,skip_strike,ADANIENSOL,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,7900.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.667330Z,skip_strike,ADANIENT,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,21400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.764665Z,skip_strike,360ONE,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,920000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.894963Z,skip_strike,ADANIGREEN,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,7700.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.917229Z,skip_strike,ADANIPORTS,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,15400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-03-05T12:01:08.980296Z,skip_strike,ADANIENSOL,2026-03-30,2026-03-04T00:00:00,2026-03-04T23:59:59.999999,CE,8000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
