logged_at_utc,event,symbol,expiry,window_from,window_to,option_type,strike,instrument_symbol,instrument_token,candles_count,min_required_candles,avg_volume,min_avg_volume,previous_candle_time,candle_time,candle_open,candle_high,candle_low,candle_close,previous_close,current_close,price_multiplier,threshold_upper,change_percent,comparison,signal_detected,skip_reason,note
2026-03-02T15:12:37.864820Z,backtest_start,,,2026-02-23 00:00:00,2026-03-02 20:42:34.569645,,,,,,5,,1,,,,,,,,,1.8,,,,,,"workers=8, frequency=daily, strict_first_candle=True, liquidity_filter=True"
2026-03-02T15:12:38.033443Z,scan_expiry_segment,LT,2026-02-24,2026-02-23T00:00:00,2026-02-24T23:59:59.999999,,,,,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:12:38.203191Z,rebalance_cmp_selected,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,,,,,,,,,,,,,,,,,1.8,,,,,,cmp=4379.4000;source=historical_underlying
2026-03-02T15:12:38.290394Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4380.0,LT24FEB264380CE,131357,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:12:40.877406Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4380.0,LT24FEB264380CE,131357,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:12:40.885344Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4400.0,LT24FEB264400CE,114259,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:12:43.548012Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4400.0,LT24FEB264400CE,114259,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:12:43.557011Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4420.0,LT24FEB264420CE,131359,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:12:46.255270Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4420.0,LT24FEB264420CE,131359,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:12:46.265910Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4440.0,LT24FEB264440CE,114261,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:12:49.011745Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4440.0,LT24FEB264440CE,114261,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:12:49.021258Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4450.0,LTIM24FEB264450CE,132383,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:12:51.610009Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4450.0,LTIM24FEB264450CE,132383,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:12:51.622517Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4460.0,LT24FEB264460CE,131361,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:12:54.241064Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,CE,4460.0,LT24FEB264460CE,131361,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:12:54.249443Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4360.0,LT24FEB264360PE,114258,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:12:58.982855Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4360.0,LT24FEB264360PE,114258,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:12:59.013385Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4350.0,LTIM24FEB264350PE,132362,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:01.585120Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4350.0,LTIM24FEB264350PE,132362,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:01.614650Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4340.0,LT24FEB264340PE,131356,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:04.247609Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4340.0,LT24FEB264340PE,131356,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:04.255644Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4320.0,LT24FEB264320PE,114256,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:09.063982Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4320.0,LT24FEB264320PE,114256,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:09.078537Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4300.0,LTIM24FEB264300PE,132282,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:11.725148Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4300.0,LTIM24FEB264300PE,132282,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:11.751841Z,scan_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4280.0,LT24FEB264280PE,114254,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:12.281745Z,skip_strike,LT,2026-02-24,2026-02-23T00:00:00,2026-02-23T23:59:59.999999,PE,4280.0,LT24FEB264280PE,114254,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:12.282775Z,rebalance_cmp_selected,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,,,,,,,,,,,,,,,,,1.8,,,,,,cmp=4396.0000;source=historical_underlying
2026-03-02T15:13:12.291588Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4400.0,LT24FEB264400CE,114259,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:14.988735Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4400.0,LT24FEB264400CE,114259,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:14.997847Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4420.0,LT24FEB264420CE,131359,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:17.700825Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4420.0,LT24FEB264420CE,131359,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:17.712955Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4440.0,LT24FEB264440CE,114261,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:18.225428Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4440.0,LT24FEB264440CE,114261,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:18.234940Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4450.0,LTIM24FEB264450CE,132383,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:23.057663Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4450.0,LTIM24FEB264450CE,132383,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:23.070271Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4460.0,LT24FEB264460CE,131361,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:25.756785Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4460.0,LT24FEB264460CE,131361,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:25.768282Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4480.0,LT24FEB264480CE,114264,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:26.321601Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,CE,4480.0,LT24FEB264480CE,114264,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:26.340627Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4380.0,LT24FEB264380PE,131358,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:28.985783Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4380.0,LT24FEB264380PE,131358,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:28.994300Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4360.0,LT24FEB264360PE,114258,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:31.606676Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4360.0,LT24FEB264360PE,114258,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:31.635715Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4350.0,LTIM24FEB264350PE,132362,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:34.247108Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4350.0,LTIM24FEB264350PE,132362,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:34.278723Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4340.0,LT24FEB264340PE,131356,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:38.930497Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4340.0,LT24FEB264340PE,131356,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:38.940065Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4320.0,LT24FEB264320PE,114256,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:41.614732Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4320.0,LT24FEB264320PE,114256,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
2026-03-02T15:13:41.632485Z,scan_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4300.0,LTIM24FEB264300PE,132282,,,,,,,,,,,,,1.8,,,,,,
2026-03-02T15:13:42.130373Z,skip_strike,LT,2026-02-24,2026-02-24T00:00:00.999999,2026-02-24T23:59:59.999999,PE,4300.0,LTIM24FEB264300PE,132282,0,5,,,,,,,,,,,1.8,,,,,insufficient_candles,
